make,model,year_from,year_to,image_url,priority,notes
Tesla,Model 3,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Tesla_Model_3_%282023%29_IMG_9488_%28cropped%29.jpg/960px-Tesla_Model_3_%282023%29_IMG_9488_%28cropped%29.jpg,1,Highland facelift
Tesla,Model 3,2017,2023,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/2019_Tesla_Model_3_Long_Range_AWD_Front.jpg/960px-2019_Tesla_Model_3_Long_Range_AWD_Front.jpg,1,Gen 1
Tesla,Model Y,2020,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Tesla_Model_in_M%C3%BCnchen.jpg/960px-Tesla_Model_in_M%C3%BCnchen.jpg,1,
Tesla,Model S,2021,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Tesla_Model_S_%282023%29_Motorworld_Munich_1X7A0025.jpg/960px-Tesla_Model_S_%282023%29_Motorworld_Munich_1X7A0025.jpg,1,Plaid-era refresh
Tesla,Model S,2012,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Tesla_Model_S_Facelift_ab_2016_trimmed.jpg/960px-Tesla_Model_S_Facelift_ab_2016_trimmed.jpg,1,Classic
Tesla,Model X,2015,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Tesla_Model_X_100D_1X7A6736.jpg/960px-Tesla_Model_X_100D_1X7A6736.jpg,1,
Tesla,Cybertruck,2024,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/2024_Tesla_Cybertruck_Foundation_Series_IMG_0634_%28cropped%29.jpg/960px-2024_Tesla_Cybertruck_Foundation_Series_IMG_0634_%28cropped%29.jpg,1,
Ford,Mustang Mach-E,2021,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Ford_Mustang_Mach-E_Rally_Auto_Zuerich_2023_1X7A1182.jpg/960px-Ford_Mustang_Mach-E_Rally_Auto_Zuerich_2023_1X7A1182.jpg,1,
Ford,F-150 Lightning,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ford_F-150_Lightning_IAA_2023_1X7A0596.jpg/960px-Ford_F-150_Lightning_IAA_2023_1X7A0596.jpg,1,
Ford,Focus Electric,2013,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Ford_Focus_Electric_front.jpg/960px-Ford_Focus_Electric_front.jpg,1,
Hyundai,Ioniq 5,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Hyundai_Ioniq_5_1X7A7085.jpg/960px-Hyundai_Ioniq_5_1X7A7085.jpg,1,
Hyundai,Ioniq 6,2023,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Hyundai_Ioniq_6_1X7A7258.jpg/960px-Hyundai_Ioniq_6_1X7A7258.jpg,1,
Hyundai,Kona Electric,2018,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/23_Hyundai_Kona_Electric_%28SX2%29_1.jpg/960px-23_Hyundai_Kona_Electric_%28SX2%29_1.jpg,1,
Hyundai,Kona,2018,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/23_Hyundai_Kona_Electric_%28SX2%29_1.jpg/960px-23_Hyundai_Kona_Electric_%28SX2%29_1.jpg,1,
Kia,EV6,2022,9999,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kia_EV6_GT_IMG_8171.jpg/960px-Kia_EV6_GT_IMG_8171.jpg,1,
